Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R002F032M0,R002F032M1,R0R0,0.4335,0.616,0.641,0.3067,0.3019,0.6499,0.5762
R002F033M0,R002F033M1,R0R0,0.3346,-0.0265,-0.0769,0.2473,0.463,-0.0102,0.3346
R002F034M0,R002F034M1,R0R0,0.5,0.8394,0.8803,0.8234,0.2967,0.8685,0.8319
R002F035M0,R002F035M1,R0R0,0.2904,0.4649,0.5214,0.3865,0.4645,0.5878,0.3395
R002F036M0,R002F036M1,R0R0,0.5,0.4554,0.5214,0.1697,0.1619,0.4309,0.5
R002F037M0,R002F037M1,R0R0,0.5357,0.7399,0.7607,0.5463,0.3349,0.7284,0.5931
R002F038M0,R002F038M1,R0R0,0.2902,0.2774,0.1624,0.3366,0.1334,0.1211,0.4046
R002F039M0,R002F039M1,R0R0,0.127,-0.1571,-0.1965,0.1221,0.4772,-0.1342,0.127
R002F040M0,R002F040M1,R0R0,0.75,0.8735,0.8803,0.7357,0.3795,0.8712,0.7874
R002F041M0,R002F041M1,R0R0,0.4264,0.7222,0.641,0.2592,0.3437,0.7492,0.6304
R002F042M0,R002F042M1,R0R0,0.4353,0.2881,0.1624,0.6234,0.5536,0.338,0.5197
R002F043M0,R002F043M1,R0R0,0.5763,0.7776,0.7607,0.4625,0.3618,0.7515,0.7044
R002F044M0,R002F044M1,R0R0,0.5,0.6171,0.5214,0.4464,0.1851,0.5655,0.5
R002F045M0,R002F045M1,R0R0,0,-0.215,-0.1965,-0.4107,-0.2851,-0.2664,0
R002F046M0,R002F046M1,R0R0,0.6209,0.725,0.7607,0.679,0.455,0.7954,0.6396
R002F047M0,R002F047M1,R0R0,0.5,0.447,0.5214,0.4468,0.4538,0.4769,0.5
R002F048M0,R002F048M1,R0R0,0.1236,-0.0382,-0.0769,0.0863,-0.0336,0.2477,0.1236
R002F049M0,R002F049M1,R0R0,0.5693,0.6966,0.7607,0.6504,0.7996,0.6546,0.7749
R002F050M0,R002F050M1,R0R0,0.5,0.6634,0.641,0.7814,0.6569,0.5939,0.6161
R002F051M0,R002F051M1,R0R0,0.5,0.4546,0.5214,0.3381,0.3867,0.5235,0.5
R002F052M0,R002F052M1,R0R0,0.0904,-0.0659,0.0428,0.0567,-0.0675,0.0418,0.1607
R002F053M0,R002F053M1,R0R0,0.5,0.6387,0.641,0.6389,0.4255,0.6636,0.5418
R002F054M0,R002F054M1,R0R0,0.0351,0.4939,0.2821,0.0064,0.0116,0.326,0.0351
R002F055M0,R002F055M1,R0R0,0.5,0.5028,0.5214,0.6652,0.1976,0.4965,0.5
R002F056M0,R002F056M1,R0R0,0.3418,0.5047,0.5214,0.451,0.2665,0.3239,0.5374
R002F057M0,R002F057M1,R0R0,0.5077,0.3845,0.4017,0.4819,0.4057,0.1736,0.5077
R002F058M0,R002F058M1,R0R0,0.3726,0.6127,0.641,0.5126,0.45,0.6012,0.6125
R002F059M0,R002F059M1,R0R0,0.239,0.3202,0.2821,0.0965,-0.0067,0.1761,0.304
